INTERSECTION_ID,X_2263,Y_2263,BOROUGH,LocationDescription,HAS_SIGNAL,HAS_CRASH,CRASH_COUNT_50FT,COMPLAINT_COUNT_50FT,Signalized,Stop_Controlled,Uncontrolled
BRONX @ Unknown Location,1008387.0,253290.0,BRONX,,0,1,165,17,0,0,1
BROOKLYN @ Unknown Location,1004888.0,182840.0,BROOKLYN,,0,1,135,45,0,0,1
BROOKLYN @ Unknown Location,1012687.0,186366.0,BROOKLYN,,0,1,122,196,0,0,1
BRONX @ Unknown Location,1014509.0,238113.0,BRONX,,0,1,120,114,0,0,1
BROOKLYN @ Unknown Location,1012861.0,185482.0,BROOKLYN,,0,1,120,133,0,0,1
BRONX @ Unknown Location,1008578.0,232422.0,BRONX,,0,1,113,92,0,0,1
BROOKLYN @ Unknown Location,988540.0,192861.0,BROOKLYN,,0,1,113,22,0,0,1
BRONX @ Unknown Location,1012428.0,235518.0,BRONX,,0,1,107,73,0,0,1
BROOKLYN @ Unknown Location,1014597.0,179233.0,BROOKLYN,,0,1,101,282,0,0,1
BRONX @ Unknown Location,1013237.0,236496.0,BRONX,,0,1,97,42,0,0,1
BRONX @ Unknown Location,1020225.0,243870.0,BRONX,,0,1,94,41,0,0,1
BROOKLYN @ Unknown Location,1018247.0,187048.0,BROOKLYN,,0,1,87,39,0,0,1
BRONX @ Unknown Location,1020184.0,259289.0,BRONX,,0,1,83,14,0,0,1
MANHATTAN @ Unknown Location,1003372.0,248278.0,MANHATTAN,,0,1,83,82,0,0,1
QUEENS @ Unknown Location,1001596.0,212133.0,QUEENS,,0,1,81,70,0,0,1
BROOKLYN @ Unknown Location,987366.0,192920.0,BROOKLYN,,0,1,77,33,0,0,1
BROOKLYN @ Unknown Location,1003578.0,186084.0,BROOKLYN,,0,1,76,27,0,0,1
BRONX @ Unknown Location,1008000.0,247210.0,BRONX,,0,1,76,65,0,0,1
BRONX @ Unknown Location,1010664.0,258616.0,BRONX,,0,1,71,3,0,0,1
BROOKLYN @ Unknown Location,1003358.0,182945.0,BROOKLYN,,0,1,70,39,0,0,1
BRONX @ Unknown Location,1017226.0,251575.0,BRONX,,0,1,70,26,0,0,1
BROOKLYN @ Unknown Location,997290.0,186557.0,BROOKLYN,,0,1,69,43,0,0,1
MANHATTAN @ Unknown Location,991251.0,201171.0,MANHATTAN,,0,1,68,28,0,0,1
MANHATTAN @ Unknown Location,988196.0,200763.0,MANHATTAN,,0,1,68,71,0,0,1
BRONX @ Unknown Location,1004368.0,237509.0,BRONX,,0,1,67,29,0,0,1
BRONX @ Unknown Location,1006818.0,240068.0,BRONX,,0,1,66,24,0,0,1
BROOKLYN @ Unknown Location,990502.0,188496.0,BROOKLYN,,0,1,65,75,0,0,1
BROOKLYN @ Unknown Location,1009744.0,185644.0,BROOKLYN,,0,1,65,93,0,0,1
BROOKLYN @ Unknown Location,994938.0,194913.0,BROOKLYN,,0,1,64,19,0,0,1
QUEENS @ Unknown Location,1009913.0,204232.0,QUEENS,,0,1,64,36,0,0,1
MANHATTAN @ Unknown Location,986921.0,201302.0,MANHATTAN,,0,1,63,45,0,0,1
BROOKLYN @ Unknown Location,1004127.0,182891.0,BROOKLYN,,0,1,63,27,0,0,1
BRONX @ Unknown Location,1009403.0,253761.0,BRONX,,0,1,62,0,0,0,1
